dzlabel,dzcode,lalabel,rank,vigintile,pconlabel
Kelso S - Bowmont and Edenside,S01012338,Scottish Borders,,10,"Ettrick, Roxburgh and Berwickshire"
Kelso S - Abbey,S01012339,Scottish Borders,,9,"Ettrick, Roxburgh and Berwickshire"
Kelso S - Broomlands,S01012340,Scottish Borders,,10,"Ettrick, Roxburgh and Berwickshire"
Oxnam and Camptown Area,S01012341,Scottish Borders,,14,"Ettrick, Roxburgh and Berwickshire"
Ancrum and Lanton Area,S01012342,Scottish Borders,,12,"Ettrick, Roxburgh and Berwickshire"
Roxburgh Heiton Eckford Area,S01012343,Scottish Borders,,13,"Ettrick, Roxburgh and Berwickshire"
Newtown St Boswells - South,S01012344,Scottish Borders,,9,"Ettrick, Roxburgh and Berwickshire"
Newtown St Boswells - North,S01012345,Scottish Borders,,13,"Ettrick, Roxburgh and Berwickshire"
Dryburgh Charlesfield Maxton Area,S01012346,Scottish Borders,,14,"Ettrick, Roxburgh and Berwickshire"
St Boswells - East,S01012347,Scottish Borders,,14,"Ettrick, Roxburgh and Berwickshire"
St Boswells - West,S01012348,Scottish Borders,,15,"Ettrick, Roxburgh and Berwickshire"
Jedburgh - Howden,S01012349,Scottish Borders,,10,"Ettrick, Roxburgh and Berwickshire"
Jedburgh - Doom Hill,S01012350,Scottish Borders,,7,"Ettrick, Roxburgh and Berwickshire"
Jedburgh - East Central,S01012351,Scottish Borders,,8,"Ettrick, Roxburgh and Berwickshire"
Jedburgh - West Central,S01012352,Scottish Borders,,14,"Ettrick, Roxburgh and Berwickshire"
Jedburgh - Abbey,S01012353,Scottish Borders,,7,"Ettrick, Roxburgh and Berwickshire"
Newcastleton,S01012354,Scottish Borders,,11,"Ettrick, Roxburgh and Berwickshire"
Teviothead and Hermitage Area,S01012355,Scottish Borders,,9,"Ettrick, Roxburgh and Berwickshire"
Denholm,S01012356,Scottish Borders,,15,"Ettrick, Roxburgh and Berwickshire"
Minto Cauldmill and Boonraw Area,S01012357,Scottish Borders,,13,"Ettrick, Roxburgh and Berwickshire"
Bonchester Bridge and Chesters Area,S01012358,Scottish Borders,,11,"Ettrick, Roxburgh and Berwickshire"
Hawick - Burnfoot - South East,S01012359,Scottish Borders,,2,"Ettrick, Roxburgh and Berwickshire"
Hawick Central - Wellogate,S01012363,Scottish Borders,,4,"Ettrick, Roxburgh and Berwickshire"
Hawick Central - Trinity,S01012364,Scottish Borders,,6,"Ettrick, Roxburgh and Berwickshire"
Hawick Central - Millers Knowes,S01012365,Scottish Borders,,16,"Ettrick, Roxburgh and Berwickshire"
Hawick Central - Town Centre,S01012366,Scottish Borders,,7,"Ettrick, Roxburgh and Berwickshire"
Hawick Central - Weensland,S01012367,Scottish Borders,,12,"Ettrick, Roxburgh and Berwickshire"
Hawick West End - Wilton Dean,S01012368,Scottish Borders,,12,"Ettrick, Roxburgh and Berwickshire"
Hawick West End - Crumhaughill and Parkdaill,S01012369,Scottish Borders,,15,"Ettrick, Roxburgh and Berwickshire"
Hawick Central - Drumlanrig,S01012370,Scottish Borders,,7,"Ettrick, Roxburgh and Berwickshire"
Hawick West End - Crumhaugh,S01012371,Scottish Borders,,6,"Ettrick, Roxburgh and Berwickshire"
Hawick North - Commercial Road,S01012372,Scottish Borders,,4,"Ettrick, Roxburgh and Berwickshire"
Hawick North - Wilton Hill,S01012373,Scottish Borders,,10,"Ettrick, Roxburgh and Berwickshire"
Hawick North - Stirtches,S01012374,Scottish Borders,,10,"Ettrick, Roxburgh and Berwickshire"
Hawick North - Silverbuthall,S01012375,Scottish Borders,,7,"Ettrick, Roxburgh and Berwickshire"
Ashkirk Lilliesleaf and Midlem Area,S01012376,Scottish Borders,,15,"Ettrick, Roxburgh and Berwickshire"
Bowden and Lindean Area,S01012377,Scottish Borders,,12,"Ettrick, Roxburgh and Berwickshire"
Ettrick Water and Bowhill Area,S01012378,Scottish Borders,,12,"Ettrick, Roxburgh and Berwickshire"
Selkirk - Shawburn,S01012380,Scottish Borders,,9,"Ettrick, Roxburgh and Berwickshire"
Selkirk - Town Centre,S01012381,Scottish Borders,,8,"Ettrick, Roxburgh and Berwickshire"
Selkirk - Hillside Terrace,S01012382,Scottish Borders,,16,"Ettrick, Roxburgh and Berwickshire"
Selkirk - Shawpark,S01012383,Scottish Borders,,13,"Ettrick, Roxburgh and Berwickshire"
Selkirk - Dunsdale,S01012384,Scottish Borders,,10,"Ettrick, Roxburgh and Berwickshire"
Selkirk - Heatherlie,S01012385,Scottish Borders,,12,"Ettrick, Roxburgh and Berwickshire"
Selkirk - Bannerfield,S01012386,Scottish Borders,,3,"Ettrick, Roxburgh and Berwickshire"
Shetland South - 01,S01012387,Shetland Islands,,12,Shetland Islands
Shetland South - 02,S01012388,Shetland Islands,,14,Shetland Islands
Shetland South - 03,S01012389,Shetland Islands,,14,Shetland Islands
Shetland South - 04,S01012390,Shetland Islands,,14,Shetland Islands
Lerwick South - 01,S01012391,Shetland Islands,,15,Shetland Islands
Lerwick South - 02,S01012392,Shetland Islands,,13,Shetland Islands
Lerwick South - 03,S01012393,Shetland Islands,,14,Shetland Islands
Lerwick North - 01,S01012395,Shetland Islands,,14,Shetland Islands
Lerwick North - 02,S01012396,Shetland Islands,,14,Shetland Islands
Lerwick North - 03,S01012397,Shetland Islands,,11,Shetland Islands
Lerwick North - 04,S01012398,Shetland Islands,,12,Shetland Islands
Lerwick North - 05,S01012399,Shetland Islands,,13,Shetland Islands
Lerwick North - 06,S01012400,Shetland Islands,,9,Shetland Islands
Lerwick North - 07,S01012401,Shetland Islands,,6,Shetland Islands
Central Shetland - 01,S01012402,Shetland Islands,,13,Shetland Islands
Central Shetland - 02,S01012403,Shetland Islands,,13,Shetland Islands
Central Shetland - 03,S01012404,Shetland Islands,,12,Shetland Islands
Central Shetland - 04,S01012405,Shetland Islands,,16,Shetland Islands
East and West Mainland - 01,S01012406,Shetland Islands,,13,Shetland Islands
East and West Mainland - 02,S01012407,Shetland Islands,,15,Shetland Islands
East and West Mainland - 03,S01012408,Shetland Islands,,14,Shetland Islands
East and West Mainland - 04,S01012409,Shetland Islands,,11,Shetland Islands
North Mainland - 01,S01012410,Shetland Islands,,16,Shetland Islands
North Mainland - 02,S01012411,Shetland Islands,,11,Shetland Islands
North Mainland - 03,S01012412,Shetland Islands,,11,Shetland Islands
North and East Isles - 01,S01012413,Shetland Islands,,11,Shetland Islands
North and East Isles - 02,S01012414,Shetland Islands,,10,Shetland Islands
North and East Isles - 03,S01012415,Shetland Islands,,16,Shetland Islands
North and East Isles - 04,S01012416,Shetland Islands,,12,Shetland Islands
Carrick South - 01,S01012417,South Ayrshire,,6,"Carrick, Cumnock and Doon Valley"
Carrick South - 02,S01012418,South Ayrshire,,8,"Carrick, Cumnock and Doon Valley"
Carrick South - 03,S01012419,South Ayrshire,,9,"Carrick, Cumnock and Doon Valley"
Carrick South - 04,S01012420,South Ayrshire,,7,"Carrick, Cumnock and Doon Valley"
Carrick South - 05,S01012421,South Ayrshire,,7,"Carrick, Cumnock and Doon Valley"
Carrick South - 06,S01012422,South Ayrshire,,9,"Carrick, Cumnock and Doon Valley"
Carrick South - 07,S01012423,South Ayrshire,,11,"Carrick, Cumnock and Doon Valley"
Girvan Glendoune - 01,S01012424,South Ayrshire,,7,"Carrick, Cumnock and Doon Valley"
Girvan Glendoune - 02,S01012425,South Ayrshire,,2,"Carrick, Cumnock and Doon Valley"
Girvan Glendoune - 05,S01012428,South Ayrshire,,8,"Carrick, Cumnock and Doon Valley"
Girvan Ailsa - 01,S01012429,South Ayrshire,,6,"Carrick, Cumnock and Doon Valley"
Girvan Ailsa - 02,S01012430,South Ayrshire,,10,"Carrick, Cumnock and Doon Valley"
Girvan Ailsa - 03,S01012431,South Ayrshire,,9,"Carrick, Cumnock and Doon Valley"
Girvan Ailsa - 04,S01012432,South Ayrshire,,7,"Carrick, Cumnock and Doon Valley"
Girvan Ailsa - 05,S01012433,South Ayrshire,,4,"Carrick, Cumnock and Doon Valley"
Maybole - 01,S01012434,South Ayrshire,,6,"Carrick, Cumnock and Doon Valley"
Maybole - 02,S01012435,South Ayrshire,,5,"Carrick, Cumnock and Doon Valley"
Maybole - 03,S01012436,South Ayrshire,,5,"Carrick, Cumnock and Doon Valley"
Maybole - 04,S01012437,South Ayrshire,,9,"Carrick, Cumnock and Doon Valley"
Maybole - 05,S01012438,South Ayrshire,,9,"Carrick, Cumnock and Doon Valley"
Maybole - 06,S01012439,South Ayrshire,,6,"Carrick, Cumnock and Doon Valley"
Maybole - 07,S01012440,South Ayrshire,,16,"Carrick, Cumnock and Doon Valley"
Carrick North - 01,S01012441,South Ayrshire,,12,"Carrick, Cumnock and Doon Valley"
Carrick North - 02,S01012442,South Ayrshire,,10,"Carrick, Cumnock and Doon Valley"
Carrick North - 03,S01012443,South Ayrshire,,13,"Carrick, Cumnock and Doon Valley"
Carrick North - 04,S01012444,South Ayrshire,,9,Ayr
Carrick North - 05,S01012445,South Ayrshire,,16,Ayr
Coylton - 01,S01012446,South Ayrshire,,5,"Carrick, Cumnock and Doon Valley"
Coylton - 02,S01012447,South Ayrshire,,15,"Carrick, Cumnock and Doon Valley"
Coylton - 03,S01012448,South Ayrshire,,13,"Carrick, Cumnock and Doon Valley"
Coylton - 04,S01012449,South Ayrshire,,12,"Carrick, Cumnock and Doon Valley"
Coylton - 05,S01012450,South Ayrshire,,11,"Carrick, Cumnock and Doon Valley"
Alloway and Doonfoot - 01,S01012451,South Ayrshire,,16,Ayr
Alloway and Doonfoot - 02,S01012452,South Ayrshire,,14,Ayr
Alloway and Doonfoot - 03,S01012453,South Ayrshire,,19,Ayr
Alloway and Doonfoot - 04,S01012454,South Ayrshire,,18,Ayr
Alloway and Doonfoot - 05,S01012455,South Ayrshire,,19,Ayr
Alloway and Doonfoot - 06,S01012456,South Ayrshire,,19,Ayr
Alloway and Doonfoot - 07,S01012457,South Ayrshire,,17,Ayr
Alloway and Doonfoot - 08,S01012458,South Ayrshire,,16,Ayr
Castlehill and Kincaidston - 01,S01012459,South Ayrshire,,17,Ayr
Castlehill and Kincaidston - 02,S01012460,South Ayrshire,,19,Ayr
Castlehill and Kincaidston - 03,S01012461,South Ayrshire,,8,Ayr
Castlehill and Kincaidston - 04,S01012462,South Ayrshire,,5,Ayr
Castlehill and Kincaidston - 05,S01012463,South Ayrshire,,4,Ayr
Castlehill and Kincaidston - 06,S01012464,South Ayrshire,,3,Ayr
Castlehill and Kincaidston - 07,S01012465,South Ayrshire,,8,Ayr
Belmont - 01,S01012466,South Ayrshire,,13,Ayr
Belmont - 02,S01012467,South Ayrshire,,11,Ayr
Belmont - 03,S01012468,South Ayrshire,,12,Ayr
Belmont - 04,S01012469,South Ayrshire,,20,Ayr
Belmont - 05,S01012470,South Ayrshire,,6,Ayr
Belmont - 06,S01012471,South Ayrshire,,19,Ayr
Belmont - 07,S01012472,South Ayrshire,,19,Ayr
Holmston and Forehill - 01,S01012473,South Ayrshire,,16,Ayr
Holmston and Forehill - 02,S01012474,South Ayrshire,,8,Ayr
Holmston and Forehill - 03,S01012475,South Ayrshire,,15,Ayr
Holmston and Forehill - 04,S01012476,South Ayrshire,,10,Ayr
Holmston and Forehill - 05,S01012477,South Ayrshire,,18,Ayr
Holmston and Forehill - 06,S01012478,South Ayrshire,,8,Ayr
Holmston and Forehill - 07,S01012479,South Ayrshire,,18,Ayr
Ayr South Harbour and Town Centre - 01,S01012480,South Ayrshire,,7,Ayr
Ayr South Harbour and Town Centre - 02,S01012481,South Ayrshire,,5,Ayr
Ayr South Harbour and Town Centre - 03,S01012482,South Ayrshire,,8,Ayr
Ayr South Harbour and Town Centre - 04,S01012483,South Ayrshire,,3,Ayr
Ayr South Harbour and Town Centre - 05,S01012484,South Ayrshire,,14,Ayr
Ayr South Harbour and Town Centre - 06,S01012485,South Ayrshire,,18,Ayr
Ayr South Harbour and Town Centre - 07,S01012486,South Ayrshire,,15,Ayr
"Ayr North Harbour, Wallacetown and Newton South - 01",S01012487,South Ayrshire,,8,Ayr
"Ayr North Harbour, Wallacetown and Newton South - 02",S01012488,South Ayrshire,,9,Ayr
"Ayr North Harbour, Wallacetown and Newton South - 03",S01012489,South Ayrshire,,1,Ayr
"Ayr North Harbour, Wallacetown and Newton South - 04",S01012490,South Ayrshire,,1,Ayr
"Ayr North Harbour, Wallacetown and Newton South - 05",S01012491,South Ayrshire,,1,Ayr
"Ayr North Harbour, Wallacetown and Newton South - 06",S01012492,South Ayrshire,,1,Ayr
Craigie - 01,S01012493,South Ayrshire,,2,Ayr
Craigie - 02,S01012494,South Ayrshire,,10,Ayr
Craigie - 03,S01012495,South Ayrshire,,4,Ayr
Dalmilling - 01,S01012496,South Ayrshire,,2,Ayr
Dalmilling - 02,S01012497,South Ayrshire,,2,Ayr
Dalmilling - 03,S01012498,South Ayrshire,,1,Ayr
Dalmilling - 04,S01012499,South Ayrshire,,3,Ayr
"Lochside, Braehead and Whitletts - 02",S01012501,South Ayrshire,,1,Ayr
"Lochside, Braehead and Whitletts - 04",S01012503,South Ayrshire,,1,Ayr
"Lochside, Braehead and Whitletts - 05",S01012504,South Ayrshire,,3,Ayr
"Lochside, Braehead and Whitletts - 06",S01012505,South Ayrshire,,4,Ayr
Newton North - 01,S01012506,South Ayrshire,,10,Ayr
Newton North - 02,S01012507,South Ayrshire,,7,Ayr
Newton North - 03,S01012508,South Ayrshire,,8,Ayr
Newton North - 04,S01012509,South Ayrshire,,14,Ayr
Newton North - 05,S01012510,South Ayrshire,,16,Ayr
Newton North - 06,S01012511,South Ayrshire,,11,Ayr
Heathfield - 01,S01012512,South Ayrshire,,6,Ayr
Heathfield - 02,S01012513,South Ayrshire,,17,Ayr
Heathfield - 03,S01012514,South Ayrshire,,16,Ayr
Heathfield - 04,S01012515,South Ayrshire,,4,Ayr
Heathfield - 05,S01012516,South Ayrshire,,9,Ayr
Heathfield - 06,S01012517,South Ayrshire,,7,Ayr
Prestwick West - 01,S01012518,South Ayrshire,,14,Ayr
Prestwick West - 02,S01012519,South Ayrshire,,14,Ayr
Prestwick West - 03,S01012520,South Ayrshire,,18,Ayr
Prestwick West - 04,S01012521,South Ayrshire,,16,Ayr
Prestwick West - 05,S01012522,South Ayrshire,,19,Ayr
Prestwick West - 06,S01012523,South Ayrshire,,17,Ayr
Prestwick East - 01,S01012524,South Ayrshire,,13,Ayr
Prestwick East - 02,S01012525,South Ayrshire,,18,Ayr
Prestwick East - 03,S01012526,South Ayrshire,,20,Ayr
Prestwick East - 04,S01012527,South Ayrshire,,13,Ayr
Prestwick East - 05,S01012528,South Ayrshire,,9,Ayr
Prestwick East - 06,S01012529,South Ayrshire,,8,Ayr
Prestwick East - 07,S01012530,South Ayrshire,,17,Ayr
Prestwick Airport and Monkton - 01,S01012531,South Ayrshire,,12,"Carrick, Cumnock and Doon Valley"
Prestwick Airport and Monkton - 02,S01012532,South Ayrshire,,13,"Carrick, Cumnock and Doon Valley"
Prestwick Airport and Monkton - 03,S01012533,South Ayrshire,,13,Ayr
Prestwick Airport and Monkton - 04,S01012534,South Ayrshire,,7,Ayr
"Annbank, Mossblown and Tarbolton - the Coalfields - 01",S01012535,South Ayrshire,,9,"Carrick, Cumnock and Doon Valley"
"Annbank, Mossblown and Tarbolton - the Coalfields - 02",S01012536,South Ayrshire,,7,"Carrick, Cumnock and Doon Valley"
"Annbank, Mossblown and Tarbolton - the Coalfields - 03",S01012537,South Ayrshire,,7,"Carrick, Cumnock and Doon Valley"
"Annbank, Mossblown and Tarbolton - the Coalfields - 04",S01012538,South Ayrshire,,6,"Carrick, Cumnock and Doon Valley"
"Annbank, Mossblown and Tarbolton - the Coalfields - 05",S01012539,South Ayrshire,,9,"Carrick, Cumnock and Doon Valley"
"Annbank, Mossblown and Tarbolton - the Coalfields - 06",S01012540,South Ayrshire,,5,"Carrick, Cumnock and Doon Valley"
"Annbank, Mossblown and Tarbolton - the Coalfields - 07",S01012541,South Ayrshire,,9,"Carrick, Cumnock and Doon Valley"
"Dundonald, Loans and Symington - 01",S01012542,South Ayrshire,,8,"Carrick, Cumnock and Doon Valley"
"Dundonald, Loans and Symington - 02",S01012543,South Ayrshire,,14,"Carrick, Cumnock and Doon Valley"
"Dundonald, Loans and Symington - 03",S01012544,South Ayrshire,,9,"Carrick, Cumnock and Doon Valley"
"Dundonald, Loans and Symington - 04",S01012545,South Ayrshire,,7,"Carrick, Cumnock and Doon Valley"
"Dundonald, Loans and Symington - 05",S01012546,South Ayrshire,,9,"Carrick, Cumnock and Doon Valley"
"Dundonald, Loans and Symington - 06",S01012547,South Ayrshire,,10,"Carrick, Cumnock and Doon Valley"
"Dundonald, Loans and Symington - 07",S01012548,South Ayrshire,,16,"Carrick, Cumnock and Doon Valley"
Muirhead - 01,S01012549,South Ayrshire,,4,Ayr
Muirhead - 02,S01012550,South Ayrshire,,9,Ayr
Muirhead - 03,S01012551,South Ayrshire,,18,Ayr
Muirhead - 04,S01012552,South Ayrshire,,18,Ayr
Muirhead - 05,S01012553,South Ayrshire,,18,Ayr
Muirhead - 06,S01012554,South Ayrshire,,18,Ayr
Muirhead - 07,S01012555,South Ayrshire,,20,Ayr
Muirhead - 08,S01012556,South Ayrshire,,18,Ayr
Barassie - 01,S01012557,South Ayrshire,,18,Ayr
Barassie - 02,S01012558,South Ayrshire,,7,Ayr
Barassie - 03,S01012559,South Ayrshire,,2,Ayr
Barassie - 04,S01012560,South Ayrshire,,9,Ayr
Barassie - 05,S01012561,South Ayrshire,,10,Ayr
Barassie - 06,S01012562,South Ayrshire,,4,Ayr
Troon - 01,S01012563,South Ayrshire,,20,Ayr
Troon - 02,S01012564,South Ayrshire,,18,Ayr
Troon - 03,S01012565,South Ayrshire,,16,Ayr
Troon - 04,S01012566,South Ayrshire,,8,Ayr
Troon - 05,S01012567,South Ayrshire,,7,Ayr
Troon - 06,S01012568,South Ayrshire,,17,Ayr
Troon - 07,S01012569,South Ayrshire,,18,Ayr
Clydesdale South - 02,S01012571,South Lanarkshire,,6,Clydesdale
Clydesdale South - 03,S01012572,South Lanarkshire,,9,Clydesdale
Clydesdale South - 04,S01012573,South Lanarkshire,,14,Clydesdale
"Biggar, Symington, Thankerton and Dolphinton - 01",S01012574,South Lanarkshire,,12,Clydesdale
"Biggar, Symington, Thankerton and Dolphinton - 02",S01012575,South Lanarkshire,,16,Clydesdale
"Biggar, Symington, Thankerton and Dolphinton - 03",S01012576,South Lanarkshire,,16,Clydesdale
"Biggar, Symington, Thankerton and Dolphinton - 04",S01012577,South Lanarkshire,,13,Clydesdale
"Biggar, Symington, Thankerton and Dolphinton - 05",S01012578,South Lanarkshire,,14,Clydesdale
"Biggar, Symington, Thankerton and Dolphinton - 07",S01012580,South Lanarkshire,,13,Clydesdale
"Carstairs, Carstairs Junction and Carnwath - 01",S01012581,South Lanarkshire,,5,Clydesdale
"Carstairs, Carstairs Junction and Carnwath - 02",S01012582,South Lanarkshire,,11,Clydesdale
"Carstairs, Carstairs Junction and Carnwath - 03",S01012583,South Lanarkshire,,5,Clydesdale
"Carstairs, Carstairs Junction and Carnwath - 04",S01012584,South Lanarkshire,,11,Clydesdale
"Carstairs, Carstairs Junction and Carnwath - 05",S01012585,South Lanarkshire,,4,Clydesdale
"Carstairs, Carstairs Junction and Carnwath - 06",S01012586,South Lanarkshire,,7,Clydesdale
"Forth, Braehead and Auchengray - 01",S01012587,South Lanarkshire,,14,Clydesdale
"Forth, Braehead and Auchengray - 02",S01012588,South Lanarkshire,,14,Clydesdale
"Forth, Braehead and Auchengray - 03",S01012589,South Lanarkshire,,8,Clydesdale
"Forth, Braehead and Auchengray - 04",S01012590,South Lanarkshire,,5,Clydesdale
"Forth, Braehead and Auchengray - 05",S01012591,South Lanarkshire,,4,Clydesdale
Law - 01,S01012592,South Lanarkshire,,16,Clydesdale
Law - 02,S01012593,South Lanarkshire,,17,Clydesdale
Law - 03,S01012594,South Lanarkshire,,13,Clydesdale
Law - 04,S01012595,South Lanarkshire,,7,Clydesdale
Law - 05,S01012596,South Lanarkshire,,5,Clydesdale
Law - 06,S01012597,South Lanarkshire,,15,Clydesdale
Carluke West - 01,S01012598,South Lanarkshire,,17,Clydesdale
Carluke West - 02,S01012599,South Lanarkshire,,11,Clydesdale
Carluke West - 03,S01012600,South Lanarkshire,,15,Clydesdale
Carluke West - 04,S01012601,South Lanarkshire,,16,Clydesdale
Carluke North - 01,S01012602,South Lanarkshire,,3,Clydesdale
Carluke North - 02,S01012603,South Lanarkshire,,5,Clydesdale
Carluke North - 03,S01012604,South Lanarkshire,,7,Clydesdale
Carluke North - 04,S01012605,South Lanarkshire,,8,Clydesdale
Carluke East - 01,S01012606,South Lanarkshire,,18,Clydesdale
Carluke East - 02,S01012607,South Lanarkshire,,10,Clydesdale
Carluke East - 03,S01012608,South Lanarkshire,,8,Clydesdale
Carluke East - 04,S01012609,South Lanarkshire,,4,Clydesdale
Carluke East - 05,S01012610,South Lanarkshire,,2,Clydesdale
Carluke South - 01,S01012611,South Lanarkshire,,14,Clydesdale
Carluke South - 02,S01012612,South Lanarkshire,,5,Clydesdale
Carluke South - 03,S01012613,South Lanarkshire,,9,Clydesdale
Carluke South - 04,S01012614,South Lanarkshire,,7,Clydesdale
"Crossford, Braidwood and Yieldshields - 01",S01012615,South Lanarkshire,,13,Clydesdale
"Crossford, Braidwood and Yieldshields - 02",S01012616,South Lanarkshire,,11,Clydesdale
"Crossford, Braidwood and Yieldshields - 03",S01012617,South Lanarkshire,,16,Clydesdale
"Crossford, Braidwood and Yieldshields - 04",S01012618,South Lanarkshire,,9,Clydesdale
Lanark North West - 01,S01012619,South Lanarkshire,,3,Clydesdale
Lanark North West - 02,S01012620,South Lanarkshire,,19,Clydesdale
Lanark North West - 03,S01012621,South Lanarkshire,,12,Clydesdale
Lanark North West - 04,S01012622,South Lanarkshire,,11,Clydesdale
Lanark North East - 01,S01012623,South Lanarkshire,,8,Clydesdale
Lanark North East - 02,S01012624,South Lanarkshire,,8,Clydesdale
Lanark North East - 04,S01012626,South Lanarkshire,,16,Clydesdale
Lanark South - 01,S01012627,South Lanarkshire,,6,Clydesdale
Lanark South - 02,S01012628,South Lanarkshire,,16,Clydesdale
Lanark South - 03,S01012629,South Lanarkshire,,16,Clydesdale
Lanark South - 04,S01012630,South Lanarkshire,,5,Clydesdale
Lanark South - 05,S01012631,South Lanarkshire,,6,Clydesdale
Hazelbank and Kirkfieldbank - 01,S01012632,South Lanarkshire,,12,Clydesdale
Hazelbank and Kirkfieldbank - 02,S01012633,South Lanarkshire,,10,Clydesdale
Hazelbank and Kirkfieldbank - 03,S01012634,South Lanarkshire,,7,Clydesdale
Hazelbank and Kirkfieldbank - 04,S01012635,South Lanarkshire,,8,Clydesdale
Hazelbank and Kirkfieldbank - 05,S01012636,South Lanarkshire,,12,Clydesdale
"Douglas, Coalburn and Rigside - 01",S01012637,South Lanarkshire,,4,Clydesdale
"Douglas, Coalburn and Rigside - 02",S01012638,South Lanarkshire,,8,Clydesdale
"Douglas, Coalburn and Rigside - 03",S01012639,South Lanarkshire,,5,Clydesdale
"Douglas, Coalburn and Rigside - 04",S01012640,South Lanarkshire,,1,Clydesdale
"Douglas, Coalburn and Rigside - 05",S01012641,South Lanarkshire,,6,Clydesdale
Lesmahagow - 03,S01012644,South Lanarkshire,,4,Clydesdale
Lesmahagow - 04,S01012645,South Lanarkshire,,10,Clydesdale
Lesmahagow - 05,S01012646,South Lanarkshire,,15,Clydesdale
Kirkmuirhill and Blackwood - 01,S01012647,South Lanarkshire,,17,Clydesdale
Kirkmuirhill and Blackwood - 02,S01012648,South Lanarkshire,,3,Clydesdale
Kirkmuirhill and Blackwood - 03,S01012649,South Lanarkshire,,8,Clydesdale
Kirkmuirhill and Blackwood - 04,S01012650,South Lanarkshire,,13,Clydesdale
Kirkmuirhill and Blackwood - 05,S01012651,South Lanarkshire,,2,Clydesdale
Kirkmuirhill and Blackwood - 06,S01012652,South Lanarkshire,,17,Clydesdale
Ashgill and Netherburn - 01,S01012653,South Lanarkshire,,4,"Hamilton, Larkhall and Stonehouse"
Ashgill and Netherburn - 02,S01012654,South Lanarkshire,,10,"Hamilton, Larkhall and Stonehouse"
Ashgill and Netherburn - 03,S01012655,South Lanarkshire,,5,"Hamilton, Larkhall and Stonehouse"
Merryton and Meadowhill - 01,S01012656,South Lanarkshire,,5,"Hamilton, Larkhall and Stonehouse"
Merryton and Meadowhill - 02,S01012657,South Lanarkshire,,6,"Hamilton, Larkhall and Stonehouse"
Merryton and Meadowhill - 03,S01012658,South Lanarkshire,,15,"Hamilton, Larkhall and Stonehouse"
Merryton and Meadowhill - 04,S01012659,South Lanarkshire,,19,"Hamilton, Larkhall and Stonehouse"
"Larkhall Central, Raploch, Millheugh and Burnhead - 01",S01012660,South Lanarkshire,,6,"Hamilton, Larkhall and Stonehouse"
"Larkhall Central, Raploch, Millheugh and Burnhead - 02",S01012661,South Lanarkshire,,13,"Hamilton, Larkhall and Stonehouse"
"Larkhall Central, Raploch, Millheugh and Burnhead - 03",S01012662,South Lanarkshire,,5,"Hamilton, Larkhall and Stonehouse"
"Larkhall Central, Raploch, Millheugh and Burnhead - 04",S01012663,South Lanarkshire,,13,"Hamilton, Larkhall and Stonehouse"
"Larkhall Central, Raploch, Millheugh and Burnhead - 05",S01012664,South Lanarkshire,,9,"Hamilton, Larkhall and Stonehouse"
Hareleeshill - 01,S01012665,South Lanarkshire,,3,"Hamilton, Larkhall and Stonehouse"
Hareleeshill - 02,S01012666,South Lanarkshire,,2,"Hamilton, Larkhall and Stonehouse"
Hareleeshill - 03,S01012667,South Lanarkshire,,2,"Hamilton, Larkhall and Stonehouse"
Hareleeshill - 04,S01012668,South Lanarkshire,,3,"Hamilton, Larkhall and Stonehouse"
Hareleeshill - 05,S01012669,South Lanarkshire,,18,"Hamilton, Larkhall and Stonehouse"
Hareleeshill - 06,S01012670,South Lanarkshire,,17,"Hamilton, Larkhall and Stonehouse"
Strutherhill - 01,S01012671,South Lanarkshire,,5,"Hamilton, Larkhall and Stonehouse"
Strutherhill - 03,S01012673,South Lanarkshire,,2,"Hamilton, Larkhall and Stonehouse"
Strutherhill - 04,S01012674,South Lanarkshire,,1,"Hamilton, Larkhall and Stonehouse"
Stonehouse - 01,S01012676,South Lanarkshire,,8,"Hamilton, Larkhall and Stonehouse"
Stonehouse - 03,S01012678,South Lanarkshire,,16,"Hamilton, Larkhall and Stonehouse"
Stonehouse - 04,S01012679,South Lanarkshire,,7,"Hamilton, Larkhall and Stonehouse"
Stonehouse - 05,S01012680,South Lanarkshire,,19,"Hamilton, Larkhall and Stonehouse"
Stonehouse - 06,S01012681,South Lanarkshire,,12,"Hamilton, Larkhall and Stonehouse"
Stonehouse - 07,S01012682,South Lanarkshire,,11,"Hamilton, Larkhall and Stonehouse"
Stonehouse - 08,S01012683,South Lanarkshire,,4,"Hamilton, Larkhall and Stonehouse"
Strathaven South - 01,S01012684,South Lanarkshire,,14,Clydesdale
Strathaven South - 02,S01012685,South Lanarkshire,,6,Clydesdale
Strathaven South - 03,S01012686,South Lanarkshire,,17,Clydesdale
Strathaven South - 04,S01012687,South Lanarkshire,,20,Clydesdale
Strathaven South - 05,S01012688,South Lanarkshire,,10,Clydesdale
Strathaven South - 06,S01012689,South Lanarkshire,,18,Clydesdale
Strathaven South - 07,S01012690,South Lanarkshire,,17,Clydesdale
Strathaven North - 01,S01012691,South Lanarkshire,,18,Clydesdale
Strathaven North - 02,S01012692,South Lanarkshire,,9,Clydesdale
Strathaven North - 03,S01012693,South Lanarkshire,,20,Clydesdale
Strathaven North - 04,S01012694,South Lanarkshire,,12,Clydesdale
