dzlabel,lalabel,rank
S01007158,Angus,5795
S01007159,Angus,2368
S01007160,Angus,3479
S01007161,Angus,3863
S01007162,Angus,3780
S01007163,Angus,5077
S01007164,Angus,5216
S01007165,Angus,5574
S01007166,Angus,5747
S01007167,Angus,6100
S01007168,Angus,5980
S01007169,Angus,5959
S01007170,Angus,4685
S01007171,Angus,4903
S01007172,Angus,4015
S01007173,Angus,5667
S01007174,Angus,3444
S01007175,Angus,5495
S01007176,Angus,5320
S01007177,Angus,2015
S01007178,Angus,1136
S01007179,Angus,6207
S01007180,Angus,5039
S01007181,Angus,5092
S01007182,Angus,4281
S01007183,Angus,2825
S01007184,Angus,1967
S01007185,Angus,1201
S01007186,Angus,631
S01007187,Angus,1864
S01007188,Angus,2523
S01007189,Angus,1794
S01007190,Angus,3722
S01007191,Angus,3424
S01007192,Angus,2246
S01007193,Angus,3635
S01007194,Angus,1096
S01007195,Angus,1337
S01007196,Angus,2553
S01007197,Angus,1084
S01007198,Angus,1245
S01007199,Angus,655
S01007200,Angus,3228
S01007201,Angus,2348
S01007202,Angus,2083
S01007203,Angus,2995
S01007204,Angus,4240
S01007205,Angus,3707
S01007206,Angus,3933
S01007207,Angus,3675
S01007208,Angus,1800
S01007209,Angus,2418
S01007210,Angus,1917
S01007211,Angus,2252
S01007212,Angus,5273
S01007213,Angus,5171
S01007214,Angus,1684
S01007215,Angus,3603
S01007216,Angus,5064
S01007217,Angus,2299
S01007218,Angus,5682
S01007219,Angus,2965
S01007220,Angus,2987
S01007221,Angus,5857
S01007222,Angus,3625
S01007223,Angus,6150
S01007224,Angus,5382
S01007225,Angus,4218
S01007226,Angus,4562
S01007227,Angus,3380
S01007228,Angus,3257
S01007229,Angus,4040
S01007230,Angus,1545
S01007231,Angus,1914
S01007232,Angus,1140
S01007233,Angus,4069
S01007234,Angus,3242
S01007235,Angus,2603
S01007236,Angus,3348
S01007237,Angus,6153
S01007238,Angus,4351
S01007239,Angus,6119
S01007240,Angus,3665
S01007241,Angus,5008
S01007242,Angus,3997
S01007243,Angus,4731
S01007244,Angus,4139
S01007245,Angus,3674
S01007246,Angus,3843
S01007247,Angus,4329
S01007248,Angus,6581
S01007249,Angus,4201
S01007250,Angus,3260
S01007251,Angus,3866
S01007252,Angus,4492
S01007253,Angus,6132
S01007254,Angus,2406
S01007255,Angus,1375
S01007256,Angus,2219
S01007257,Angus,1405
S01007258,Angus,3279
S01007259,Angus,2563
S01007260,Angus,1344
S01007261,Angus,5169
S01007262,Angus,3193
S01007263,Angus,3014
S01007264,Angus,4405
S01007265,Angus,2892
S01007266,Angus,3341
S01007267,Angus,3820
S01007268,Angus,4249
S01007269,Angus,4551
S01007270,Angus,4088
S01007271,Angus,3996
S01007272,Angus,1740
S01007273,Angus,3858
S01007274,Angus,2997
S01007275,Angus,4992
S01007276,Angus,4409
S01007277,Angus,5724
S01007278,Angus,6225
S01007279,Angus,4253
S01007280,Angus,3612
S01007281,Angus,3965
S01007282,Angus,3782
S01007283,Angus,5573
S01007284,Argyll and Bute,3195
S01007285,Argyll and Bute,3919
S01007286,Argyll and Bute,5379
S01007287,Argyll and Bute,3773
S01007288,Argyll and Bute,3789
S01007289,Argyll and Bute,4561
S01007290,Argyll and Bute,3981
S01007291,Argyll and Bute,2000
S01007292,Argyll and Bute,5576
S01007293,Argyll and Bute,1767
S01007294,Argyll and Bute,4467
S01007295,Argyll and Bute,939
S01007296,Argyll and Bute,1953
S01007297,Argyll and Bute,5074
S01007298,Argyll and Bute,3937
S01007299,Argyll and Bute,3453
S01007300,Argyll and Bute,1947
S01007301,Argyll and Bute,5234
S01007302,Argyll and Bute,2532
S01007303,Argyll and Bute,3785
S01007304,Argyll and Bute,3989
S01007305,Argyll and Bute,4496
S01007306,Argyll and Bute,4471
S01007307,Argyll and Bute,4010
S01007308,Argyll and Bute,3583
S01007309,Argyll and Bute,3867
S01007310,Argyll and Bute,3607
S01007311,Argyll and Bute,4586
S01007312,Argyll and Bute,3749
S01007313,Argyll and Bute,4161
S01007314,Argyll and Bute,4864
S01007315,Argyll and Bute,4717
S01007316,Argyll and Bute,2258
S01007438,Clackmannanshire,1811
S01007317,Argyll and Bute,3998
S01007439,Clackmannanshire,3051
S01007318,Argyll and Bute,3293
S01007440,Clackmannanshire,2878
S01007319,Argyll and Bute,3692
S01007441,Clackmannanshire,6192
S01007320,Argyll and Bute,4475
S01007442,Clackmannanshire,6883
S01007321,Argyll and Bute,3684
S01007443,Clackmannanshire,4995
S01007322,Argyll and Bute,4101
S01007444,Clackmannanshire,5923
S01007323,Argyll and Bute,4112
S01007445,Clackmannanshire,6081
S01007324,Argyll and Bute,4239
S01007446,Clackmannanshire,6489
S01007325,Argyll and Bute,3753
S01007447,Clackmannanshire,5901
S01007326,Argyll and Bute,3865
S01007448,Clackmannanshire,5106
S01007327,Argyll and Bute,2715
S01007449,Clackmannanshire,1539
S01007328,Argyll and Bute,3515
S01007450,Clackmannanshire,1313
S01007329,Argyll and Bute,3318
S01007451,Clackmannanshire,3002
S01007330,Argyll and Bute,3155
S01007452,Clackmannanshire,1812
S01007331,Argyll and Bute,3169
S01007453,Clackmannanshire,5096
S01007332,Argyll and Bute,3574
S01007333,Argyll and Bute,4200
S01007334,Argyll and Bute,876
S01007454,Clackmannanshire,1678
S01007335,Argyll and Bute,1780
S01007455,Clackmannanshire,1346
S01007336,Argyll and Bute,858
S01007456,Clackmannanshire,891
S01007337,Argyll and Bute,2046
S01007457,Clackmannanshire,1565
S01007338,Argyll and Bute,3653
S01007458,Clackmannanshire,5884
S01007459,Clackmannanshire,4707
S01007339,Argyll and Bute,4810
S01007460,Clackmannanshire,1264
S01007340,Argyll and Bute,2079
S01007461,Clackmannanshire,148
S01007341,Argyll and Bute,4099
S01007462,Clackmannanshire,1848
S01007342,Argyll and Bute,5369
